DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Attribute,Data Element Type,SIFFrame,Able to be mapped RAW
11,VET in Schools NCVER,,,Raw,Training packages,"A set of nationally endorsed standards, guidelines and qualifications for training and for recognising and assessing skills.  They are developed by industry with the aim of meeting the needs of an industry or group of industries.  For more details of training packages go to:  <http://www.training.gov.au>. ",,,,,,,,AVETMISS VET Provider Collection Specifications: Release 7.0 (AVETMISS Release 7.0),,Collected in the field Prgram Identifier from the Program file.,,,,,,,,,,
Different collection below:,,,,Not sure which one is correct,,,,,,,,,,,,,,,,,,,,,,
1,VETiS (ACARA),,,Raw,SMCL ID,Internal ACARA ID,,,,,,,,,,,,,,,,,,,,
2,VETiS (ACARA),,,Raw,ACARA SML UD,ACARA Master School ID,,,,,,,,,,,,,,,,SchoolInfo,ACARAId,,,
3,VETiS (ACARA),,,Raw,EDP DEEWR ID,DEEWR School ID,,,,,,,,,,,,,,,,SchoolInfo,CommonwealthId,,,
4,VETiS (ACARA),,,Raw,EDP JUR ID,Juridiction School ID,,,,,,,,,,,,,,,,SchoolInfo,StateProvinceId,,,
5,VETiS (ACARA),,,Raw,Calendar Year,This field refers to the year the data is sourced from.,,,,,,,,,,,,,,,,CalendarDate,SchoolYear,,,
6,VETiS (ACARA),,,Raw,ACARA SML School Name,School Name,,,,,,,,,,,,,,,,SchoolInfo,SchoolName,,,
7,VETiS (ACARA),,,Raw,Suburb,This field refers to the suburb of the school.,,,,,,,,,,,,,,,,SchoolInfo,AddressList,,,
8,VETiS (ACARA),,,Raw,Postcode,This field refers to the postcode of the school.,,,,,,,,,,,,,,,,SchoolInfo,AddressList,,,
9,VETiS (ACARA),,,Raw,State,This field refers to the location state of the school.,,,,,,,,,,,,,,,,SchoolInfo,AddressList,,,
10,VETiS (ACARA),,,Raw,SchoolSectorCodeDesc,School - Sector Code,,,,,,,,,,,,,,,,SchoolInfo,SchoolSector,,,
11,VETiS (ACARA),,,Raw,ACARA SML Head Campus ID,"The field refers to School - Head ACARA Master School ID is allocated by ACARA to the head school, if applicable.  An ID will not be allocated where the school doesn't have any associated campuses.  If it has value and the value is the same as the ACARA Master School ID then the school is the main or head campus.  If the value is different from the ACARA Master ID then the school is the associated campus or sub campus.",,,,,,,,,,,,,,,,SchoolInfo,ACARAId,,,
12,VETiS (ACARA),,,Raw,Head EDP DEEWR ID,"The field refers to school - Head DEEWR School ID is allocated by DEEWR to the head campus, if applicable.  The Head DEEWR School ID is required and if this field doesn't have a value, it means that the school doesn't have any associated campuses.  If it has value and the value is the same as the DEEWR ID then the school is the main or head campus.  If the value is different from the DEEWR ID then the school is the associated campus or sub campus.",,,,,,,,,,,,,,,,SchoolInfo,CommonwealthId,,,
13,VETiS (ACARA),,,Raw,ACARA RRP Description,This field refers to Rolled or Individual Reporting Flag,,,,,,,,,,,,,,,,,,,,
14,VETiS (ACARA),,,Raw,VETCategoryDesc,"Enrolments, Qualifications Completed and School Based Apprenticeships.  An enrolment in a VET course is counted if the student has completed at least one unit of competency as part of that course. Participation in a school-based apprenticeship or traineeship is counted if the student has completed at least one unit of competency as part of the apprenticeship or traineeship. Qualifications completed are AQF VET qualifications awarded.",,,,,,,,,,,,,,,,,,,,
15,VETiS (ACARA),,,Raw,HeadClassificationDesc,This field refers to ASCED course Head Classification. ABS broad field of education as recorded in AVETMISS. This list is from Australian Bureau of Statistics Release 1272.0 July 2001 - Australian Standard Classification of Education (ASCED). This field is a proxy for industry area.,,,,,,,,Australian Bureau of Statistics Release 1272.0 July 2001 - Australian Standard Classification of Education (ASCED),,,,,,,,,,,,
16,VETiS (ACARA),,,Raw,SubClassificationDesc,This field refers to ASCED course Sub Classification under the Head Classification.  This field is a proxy for industry area.,,,,,,,,Australian Bureau of Statistics Release 1272.0 July 2001 - Australian Standard Classification of Education (ASCED),,,,,,,,,,,,
17,VETiS (ACARA),,,Count,Classification Total,This field refers to the count of classification. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
18,VETiS (ACARA),,,Count,Certificate I,Count of the Australian Qualifications Framework level of the qualification or enrolment for Certificate I. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
19,VETiS (ACARA),,,Count,Certificate II,Count of the Australian Qualifications Framework level of the qualification or enrolment for Certificate II. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
20,VETiS (ACARA),,,Count,Certificate III,Count of the Australian Qualifications Framework level of the qualification or enrolment for Certificate III. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
21,VETiS (ACARA),,,Count,Certificate IV,Count of the Australian Qualifications Framework level of the qualification or enrolment for Certificate IV. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
22,VETiS (ACARA),,,Count,Diploma OR Higher,Count of the Australian Qualifications Framework level of the qualification or enrolment for Diploma or higher. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
23,VETiS (ACARA),,,Count,Other,Count of the Australian Qualifications Framework level of the qualification or enrolment for Other.  This includes vocational education and training not elsewhere classified. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
24,VETiS (ACARA),,,Count,SchoolBasedApprenticeshipsAndTraineeships,Number of students at the school undertaking school-based apprenticeships and traineeships.  Students are counted if they have completed at least one unit of competency as part of the apprenticeship or traineeship.  This data is from last year.,,,Number,,,,,,,,,,,,,,,,,
25,VETiS (ACARA),,,Aggregate,TotalStudentCountByCategory,Count of the Students per category. This data is from last year.,,,Number,,,,,,,,,,,,,,,,,Yes
