DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Attribute,Data Element Type,SIFFrame,Able to be mapped RAW
17,Finance Gov,,,Pre-calculated,ACARA_FFD_RI_Fees_Charges_Parental_Contributions,"This field indicates the amount of fees, charges and parent contributions received by the school in the calendar year.",,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
18,Finance Gov,,,Pre-calculated,ACARA_FFD_RI_Other_Private_Sources,This field indicates the amount of funding received from other private sources by the school in the calendar year.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values) ",,,,,>=0,,,,,,,,,,
19,Finance Gov,,,Pre-calculated,ACARA_FFD_D_FeeIncome_Allocatedto_CurrentCapitalProjects,This field refers to the amount of recurrent income that has been spent on capital projects in the current year being reported.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,> = 0 AND = ACARA_FFD_CE_Fee_Income_Current_Capital_Projects,,,,,,,,,,
20,Finance Gov,,,Pre-calculated,ACARA_FFD_D_FeeIncome_Allocatedto_FutureCapitalProjects,This field refers to the amount of recurrent income allocated to future capital projects and diocesan capital funds.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
21,Finance Gov,,,Pre-calculated,ACARA_FFD_D_FeeIncome_Allocatedto_DebtServicing,"This field refers to the amount of recurrent income allocated to debt servicing, including principal repayments and interest on loans.",,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
22,Finance Gov,,,Pre-calculated,ACARA_FFD_CE_AustralianGovernment_Capitalfunding,This field refers to the amount of capital expenditure that was sourced from Australian Government funding.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
23,Finance Gov,,,Pre-calculated,ACARA_FFD_CE_StateGovernment_Capital_Funding,This field refers to the amount of capital expenditure that was sourced from State/Territory Government funding.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
24,Finance Gov,,,Pre-calculated,ACARA_FFD_CE_New_School_Loans,This field refers to the amount of capital expenditure that was sourced from drawdowns from school loans during the year.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
25,Finance Gov,,,Pre-calculated,ACARA_FFD_CE_FeeIncome_Allocatedto_CurrentCapitalProjects,This field refers to the amount of capital expenditure that was sourced from recurrent income.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,> = 0 AND = ACARA_FFD_D_Fee_Inc_Current_Capital_Projects,,,,,,,,,,
26,Finance Gov,,,Pre-calculated,ACARA_FFD_CE_Other_Specific_Private_Sources,This field refers to the amount of capital expenditure that was sourced from other private sources and retained earnings from previous years.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,
27,Finance Gov,,,Pre-calculated,ACARA_FFD_FTE_Funded_Enrolments,This attribute refers to the full-time equivalent enrolments relating to recurrent income and capital expenditure. This may be different from the NSSC-defined FTE if the school has reported financial data relating to students not covered by the NSSC definition for FTE enrolments.,,,Numeric ONLY (including 0),Float or Double,"nnnnnnnnn.nn (2 decimal places, no dollar sign, no negative values)",,,,,>=0,,,,,,,,,,Yes
