DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Attribute,Data Element Type,SIFFrame,Able to be mapped RAW
22,National Standards Student Attendance Data Reporting ,7J,,Descriptor ,Natural disaster/event,Natural disaster/event where students are unable to travel to school and school is closed.,,,,,,"Treatment of Absence: NA
Possible school days: Excluded",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
23,National Standards Student Attendance Data Reporting ,7K,,Descriptor ,Approved educational absence,"Attendance at approved/sactioned school events where the student is not required to attend school.
Includes absences such as:
-Excursions
-Flexible timetable
-Attending another school
-VET activities",,,,,,"Treatment of Absence: Present
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
24,National Standards Student Attendance Data Reporting ,7L,,Descriptor ,Work experience programs,"Approved participation in/attendance at work experience related programs.  School is responsible for students on these programs.
NSSC states that students' time spent of work experience programs, as part of the school curriculum or program, should be treated as time in school.",,,,,,"Treatment of Absence: Present
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
25,National Standards Student Attendance Data Reporting ,7M,,Descriptor ,Employment,"Short-term employment. School is not responsible for students during this period; however, student remains officially enrolled.",,,,,,"Treatment of Absence: Absent
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
26,National Standards Student Attendance Data Reporting ,7N,,Descriptor ,Explained other absent,"Absences from school due to acceptable reasons, other than any of those listed in this table.",,,,,,"Treatment of Absence: Absent
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
27,National Standards Student Attendance Data Reporting ,7O,,Descriptor ,Exemptions,"Approved exemptions such as certificate of exemptions, only for exceptional circumstances. Reasons for exemptions must not conflict with other descriptions in this table.
Includes approved short-term employment for NSW and SA such as employment in the entertainment industry where approval and exemption from class has been given by the appropriate school personnel.
",,,,,,"Treatment of Absence: NA
Possible school days: Excluded

Note: Due to the low number of absences in this category, some jurisdictions may choose to include these absences as possible school days.  Although this is not recommended, this has minimal impact to the national and jurisdictional attendance rate.",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
28,National Standards Student Attendance Data Reporting ,7P.1,,Descriptor ,Detention/Juvenile Justice/Suspension/Immigration Detention Centres - notified,School is notified that the student is at the relevant centre. See 7P.2 for not notified absences.,,,,,,"Treatment of Absence: NA
Possible school days: Excluded",,,7P.2 Detention/Juvenile Justice/Suspension/Immigration  Detention Centres - not notified,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
29,National Standards Student Attendance Data Reporting ,7P.2,,Descriptor ,Detention/Juvenile Justice/Suspension/Immigration  Detention Centres - not notified,"If school is not notified, then the student would be absent for 'unexplained/unauthorised' reasons.",,,,,,"Treatment of Absence: Absent
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
30,National Standards Student Attendance Data Reporting ,7Q,,Descriptor ,Behaviour centre,"Absences of students who are moved to a behaviour centre, but who nevertheless remain enrolled in their main school.  All data are attributed back to main school.",,,,,,"Treatment of Absence: Absent
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
31,National Standards Student Attendance Data Reporting ,7R,,Descriptor ,Tutorial centres,"Absences at the main school for students who are moved to a tutorial centre, but who nevertheless remain enrolled in their main school.",,,,,,"Treatment of Absence: Present
Possible school days: Included",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
32,National Standards Student Attendance Data Reporting ,7S,,Descriptor ,Expelled,Student is no longer enrolled at the school.,,,,,,"Treatment of Absence: NA
Possible school days: Excluded",,,,,,,,,,StudentAttendanceTimeList,"AttendanceTimes/AttendanceTime/AttendanceCode

AttendanceTimes/AttendanceTime/AttendanceStatus",,,
