DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Could be mapped at RAW,,,,,,,,,,,,,,,
11,NSSC URL,7c,Enrolment,Raw,City,The city part of the address,,,,,,,,,,,Student's term? Usual? Physical Address?,School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/City,Descriptor,Student,,,,,,,,,,,,,,,,
12,NSSC URL,7d,Enrolment,Raw,StateProvince,The state  code,,,,,,,,,,,Student's term? Usual? Physical Address?,School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/StateProvince,Descriptor,Student,,,,,,,,,,,,,,,,
13,NSSC URL,7e,Enrolment,Raw,PostalCode,The postal code,,,,,,,,,,,Student's term? Usual? Physical Address?,School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/PostalCode,Descriptor,Student,,,,,,,,,,,,,,,,
14,NSSC URL,7,Enrolment,Derived,Area of Usual Residence Mesh Block Code ,"The place where the student usually resides for the majority of their time during the given enrolment as represented by the ASGS geographical area code Mesh Block (MB). This is assumed to be based on where the primary carer for the student (parent/guardian 1 or 2) resides.

It is represented by a geographical area code derived from the Australian Statistical Geography Standard (ASGS) 2011.",EN_ASGS_MB,All Active Enrolments,"Categorical, Numeric",11,"NNNNNNNNNNN
The Area of Usual Residence ASGS Mesh Block is a eleven-digit hierarchical coding structure using the ABS: Australian Statistical Geography Standard (ASGS) 2011.
Where this item is not available the following codes should be used:
10000009899 - New South Wales: undefined MB
20000009899 - Victoria: undefined MB
30000009899 - Queensland: undefined MB
40000009899 - South Australia: undefined MB
50000009899 - Western Australia: undefined MB
60000009899 - Tasmania: undefined MB
70000009899 - Northern Territory: undefined MB
80000009899 - Australian Capital Territory: undefined MB
90000009899 - Other Territories: undefined MB","The place of usual residence of the parent or guardian with whom the child spends the majority of their time should be used for coding to ASGS 2011 Mesh Block code.
If the child spends 50% with one parent/guardian and 50% with the other, use the 1st residential address recorded.
For children boarding at a boarding school, report the area of usual residence as the child's parent or guardian, not the boarding school.
When coding, if one level is known, all levels above that level are also known as ASGS is a hierarchical structure.
Mesh Blocks (MBs) are the smallest geographic region in the ASGS and form the basis for the larger regions of the ASGS. There are approximately 347,000 MBs covering the whole of Australia without gaps or overlaps. They broadly identify land use such as residential, commercial, agricultural and parks etc. MBs are the building blocks for all the larger regions of the ASGS. As MBs are very small they can be combined together to accurately approximate a large range of other statistical regions.
Note: If required, ABS can code from address information supplied.","Data is valid to 11 numerals only. Data is categorical; entries other than prescribed are not valid.
Entries of less than 11 numerals will not be valid.",ABS: Australian Statistical Geography Standard (ASGS) 2011,Address information?,,"Derived from Student's term? Usual? Address?, see detail as for school's physical address below, why Mesh Block here not SA1 as for school?
http://www.abs.gov.au/websitedbs/D3310114.nsf/home/Australian+Statistical+Geography+Standard+(ASGS)",School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/StatisticalAreas/StatisticalArea (where SpatialUnitType = MB),Derived,Student,,,,,,,,,,,,,,,,
15,NSSC URL,8,Enrolment,Raw,Grade of Student’s Enrolment,"The incremental level of formal schooling that the enrolment relates to on a Pre-Year 1 to Year 12 scale.
The grades included are: 
Primary grades
• Pre-year 1 (the grade of formal schooling prior to Year 1)
• Year 1 to Year 7
• Ungraded Primary
Secondary grades
• Year 7 to Year 12
• Ungraded Secondary",EN_GRADE,All Active Enrolments,"Categorical, Numeric",3,"NNN
100 = Pre-Year 1 
101 = Year 1 
102 = Year 2  
103 = Year 3 
104 = Year 4 
105 = Year 5 
106 = Year 6 
107 = Year 7 primary 
199 = Ungraded primary 
207 = Year 7 secondary 
208 = Year 8 
209 = Year 9 
210 = Year 10 
211 = Year 11 
212 = Year 12 
299 = Ungraded secondary","Where an enrolment is across more than one grade, the lowest grade should be recorded.
Pre- Year 1 is known by the following names in the various states/territories
• Kindergarten  (NSW & ACT) 
• Preparatory (QLD, VIC & TAS)
• Reception (SA)
• Pre-primary (WA)
• Transition (NT)
Year 7 may be a Primary Grade or Secondary Grade depending on the schooling structure. Year 7 is included as a:
• Primary Grade in QLD, SA and WA; and 
• Secondary Grade in NSW, Vic., Tas., NT and ACT
Students who are ungraded are allocated to Ungraded Primary or Ungraded Secondary based on:
• if they can be identified receiving a primary or secondary level of education; or if not
• their age compared to typical primary/secondary ages in their state or territory for graded students in that reference year.
Generally, Ungraded Primary students are aged from 4-12 and Ungraded Secondary students are aged from 13 and over. Age ranges for ungraded students may vary between the states and territories based on different schooling structures.
For example:
If an enrolment is identified as undertaking both Year 9 and 12 content then Year 9 is recorded against the enrolment.",Data entered into this field is valid to 3 numerals only. Data is categorical; entries other than prescribed are not valid.,N/A,"School Frame
4 - School Type (SCH_TYPE)

Enrolment Derived
4 - Enrolment Level (END_LVL)

School Derived
3 - Education Provider High Grade (EPR_HIGHGRADE)
4 - Education Provider Low Grade (EPR_LOWGRADE)",,"Need to know State/Territory of school to apply these values, although there are changes in some jurisdictions, would need school level information",School Enrolling Student,,,,StudentPersonal,MostRecent/YearLevel,Descriptor,Student,,,,,,,,,,,,,,,,Enrolment Derived
16,NSSC URL,9,Enrolment,Raw,Full-Time Equivalent Value of Enrolment,"The measure of the workload of an enrolment with a base reference to the minimum full-time workload for an enrolment.
 Minimum full-time workload for an enrolment = 1.00",EN_FTEVAL,All Active Enrolments,"Continuous, Numeric ",,"All values greater than or equal to zero (0.00)
Values greater than 1.00 will be queried for validity.","Workload and FTE values of enrolments are determined by the relevant education authorities and may be based on hours, weeks or units.
It is possible for an enrolment to undertake a larger workload than 1.0.","All values greater than or equal to zero (0.0).
Values greater than 1.00 will be queried for validity.",N/A,"Enrolment Derived
3 - Full-time or Part-time Status of Enrolment (END_FTPT)
Student Derived
1 - Full-Time Equivalent (FTE) Value of Student (STD_FTEVAL)
2 - Full-time or Part-time Status of Student (STD_FTPT)",,"Assumes this FTE applies to this school only, there will be multpile records for students enrolled in more that one school",School Enrolling Student,,,,StudentSchoolEnrollment,FTE,Descriptor,Student,,,,,,,,,,,,,,,,1 - Statistical Linkage Key (END_LNK_RECKEY)
17,NSSC URL,10,Enrolment,Raw,Enrolled Full-fee Paying Overseas Student (FFPOS) Status,"The status of an enrolment showing whether:
• both the course and the school/system are registered on the Commonwealth Register of Institutions and Courses for Overseas Students (CIRCOS), and
• the person is liable for a fee which reflects the imputed full average cost of the person’s education at the school (including both recurrent and capital costs) irrespective of the actual arrangements to meet the fee. Include FFPOS students who may be exempt from fees.
",EN_FFPOS,All Active Enrolments,"Categorical, Numeric",1,"N
1 = FFPOS
2 = Non-FFPOS
9 = Not stated/Unknown",The course must be registered on the Commonwealth register of Institutions and Course for Overseas Students (CRICOS).,Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,N/A,N/A,,,School Enrolling Student,,,,StudentSchoolEnrollment,FFPOS,Descriptor,Student,,,,,,,,,,,,,,,,
18,NSSC URL,11,Enrolment,Raw,System School ID,A unique authorisation number allocated to registered schools by the system administering those schools,SCH_SYSID,All in-scope schools,String,,String of varying alpha-numeric length,Length and composition of the System School ID may vary between systems.,N/A,N/A,"Enrolment Frame
11 - System School Campus ID (SCH_SYSCMPSID) 
School Frame
1 - System School ID (SCH_SYSID)
2 - System School Campus ID (SCH_SYSCMPSID)",,,School Enrolling Student,,,,StudentSchoolEnrollment,SchoolInfoRefId,Identifier,Student,,,,,,,,,,,,,,,,
19,NSSC URL,12,Enrolment,Raw,System School Campus ID,A unique authorisation number allocated to a registered school campus by the system administering the school,SCH_SYSCMPSID,All in-scope schools,String,,[x(*)] string of various alpha-numeric length,Length and composition of the System School Campus ID may vary between systems.,N/A,N/A,"Enrolment Frame
11 - System School ID (SCH_SYSID) 
School Frame
1 - System School ID (SCH_SYSID)
2 - System School Campus ID (SCH_SYSCMPSID)",,Can it be null?,School Enrolling Student,,,,StudentSchoolEnrollment,Campus/SchoolCampusId,Identifier,Student,,,,,,,,,,,,,,,,
20,NSSC URL,13,Enrolment,Raw,Main School Flag,A flag that identifies a student’s main place of schooling.,EN_MNSCHFLG,All Active Enrolments,"Categorical, Numeric",1,"N 
1 = Main School
2 = School provider 2
3 = School provider 3
N = School provider n","Students with one enrolment will always be at their main school and should have Main School Flag recorded as 1.
For systems that are able to identify students with multiple enrolments the Main School Flag will determine which characteristics are used for reporting. Students with multiple enrolments will have their characteristics taken from the enrolment at the main 
Order of Main School Flag is determined by:
1)     enrolments at non-special schools before special schools; otherwise
2)     the school the student is enrolled in the lowest grade
3)     the school the student undertakes the majority of their workload (largest FTE); otherwise
4)     the school as identified by the data provider
5)     other identification by the data provider.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,N/A,"Enrolment Frame
 1 - System Student ID (EN_SYSSTDID) 
8 - Grade of Student’s Enrolment (EN_GRADE) 
9 - Full-Time Equivalent Value of Enrolment (EN_FTEVAL) 
School Frame 
1 - System School ID (SCH_SYSID) 
4 - School Type (SCH_TYPE)",,"some students esp in senior secondary years undertake school education in non school sites such as TAFES, ACE rpoviders, gaols? Youth detention centres? These are out of scope",School Enrolling Student,,,,StudentSchoolEnrollment,School Enrollment Type,Descriptor,Student,,,,,,,,,,,,,,,,
21,NSSC URL,14,Enrolment,Raw,Student's Country of Birth,The country in which the student was born.,EN_COB,All Active Enrolments,"Categorical, Numeric",4,"NNNN
The country of birth field is a four-digit, three level hierarchical coding structure using the ABS: Standard Australian Classification of Countries (SACC), Second Edition (cat. no. 1269.0) (see Appendix D).","The SCSEEC 2010 Data Standards Manual provides a number of options for the country of birth question that can be included on enrolment forms. Options reflect a standard set of questions, or individualised questions for each state based on common countries of birth by state and territory as identified in the 2006 Population Census.
All question modules from the standard use the ABS: SACC.
Country of birth is a hierarchical 4 digit category broken down by:
• First digit = Major Group
• Second digit = Minor Group
• Third and Fourth digit = Detailed level.
As a hierarchical structure, if one level is known, all levels above that level are also known.
Not further defined codes are included in the standard. Not further defined codes include leading zeros.
For example:
If the Major Group only is known (e.g. North-West Europe) then 2000 is recorded showing the 2 that identifies the Major group and 000 which identifies the unknown minor group and detailed level.
If the Detailed Level is known (e.g. England) then 2101 is recorded for England which also identifies the Minor group (21 - United Kingdom, Channel Islands & Isle of Man)  and the Major Group (2 – North-West Europe)","Data is valid to 4 numerals only. Data is categorical; entries other than prescribed in the SACC are not valid.

Entries that would otherwise meet a ‘not further defined’ code with leading zeros will be treated as that code.","Standard Australian Classification of Countries (SACC), Second Edition (ABS cat. no. 1269.0)

SCSEEC 2010 Data Standards Manual",N/A,,,School Enrolling Student,,,,StudentPersonal,PersonInfo/Demographics/CountryofBirth,Descriptor,Student,,,,,,,,,,,,,,,,
22,NSSC URL,15,Enrolment,Raw,Student’s Main Language other than English Spoken at Home,"The main language other than English, spoken in the home by the student.",EN_MLSH,All Active Enrolments,"Categorical, Numeric",4,"NNNN
The ‘Main Language other than English’ is a 4-digit, three level hierarchical coding structure using the ABS: Australian Standard Classification of Languages (ASCL) second edition (ABS cat.no. 1267.0).
Common codes:
0000 – Inadequately described
0001 – Non verbal, so described
0002 – Not stated
1201 – English","The SCSEEC 2010 Data Standards Manual provides a number of options for the main language other than English spoken at home question that can be included on enrolment forms. Options reflect a standard set of questions, or individualised questions for each state based on common countries of birth by state and territory as identified in the 2006 Population Census.
All question modules from the standard use the ABS: ASCL.
Country of birth is a hierarchical 4 digit category broken down by:
• First digit = Broad Group
• Second digit = Narrow Group
• Third and Fourth digit = Detailed Level.
As a hierarchical structure, if one level is known, all levels above that level are also known.
If English Only and another language are selected, the response should be coded to the first language other than English specified.
If the student speaks more than one language at home (not including English), Main Language other than English is the language the student speaks most often. If this cannot be identified then code the first language identified.
Not further defined codes are included in the standard. Not further defined codes include leading zeros.
For example:
If the Broad Group only is known (e.g. Northern European Languages) then 1000 is recorded showing the 1 that identifies the Broad Group and 000 which identifies the unknown Narrow Group and Detailed Level.
If the Detailed Level is known (e.g. Irish) then  1102 is recorded for Irish which also identifies the Narrow Group (11 - Celtic)  and the Broad Group (1 – Northern European Languages)","Data is valid to 4 numerals only. Data is categorical; entries other than prescribed in the ASCL are not valid.

Entries that would otherwise meet a ‘not further defined’ code with leading zeros will be treated as that code.","Australian Standard Classification of Languages (ASCL) Second Edition, (ABS cat. no. 1267.0).

SCSEEC 2010 Data Standards Manual","Enrolment Frame
22 - Parent/Guardian 1 Main Language other than English Spoken at Home (PG_MLSH1) 
23 - Parent/Guardian 2 Main Language other than English Spoken at Home (PG_MLSH2) 

Enrolment Derived
5 - Language Background Indicator (END_LBI)",,,School Enrolling Student,,,,StudentPersonal,StudentPersonal/PersonInfo/Demographics/LBOTE,Derived,Student,,,,,,,,,,,,,,,,
23,NSSC URL,16,Enrolment,Raw,Parent/Guardian 1 School Education,The highest level of primary or secondary education attained by the student’s parent/guardian 1.,PG_SCHED1,All Active Enrolments,"Categorical, Numeric",1,"N
1 = Year 9 or equivalent or below
2 = Year 10 or equivalent
3 = Year 11 or equivalent
4 = Year 12 or equivalent
9 = Not stated/Unknown","School education means primary or secondary education, regardless of the location or institution where it was undertaken.
It includes study at a secondary education level that might, for example, be undertaken at a Technical and Further Education (TAFE) institution.
For persons who have never attended school, include in the 'Year 9 or equivalent or below' category.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
17 - Parent/Guardian 2 School Education (PG_SCHED2) 
18 - Parent/Guardian 1 Highest Non School Education or Qualification (PG_NSCHED1) 
19 - Parent/Guardian 2 Highest Non School Education or Qualification (PG_NSCHED2) 

Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1SchoolEducationLevel,Descriptor,,,,,,,,,,,,,,,,,
24,NSSC URL,17,Enrolment,Raw,Parent/Guardian 2 School Education,The highest level of primary or secondary education attained by the student’s parent/guardian 2.,PG_SCHED2,All Active Enrolments,"Categorical, Numeric",1,"N
1 = Year 9 or equivalent or below
2 = Year 10 or equivalent
3 = Year 11 or equivalent
4 = Year 12 or equivalent
9 = Not stated/Unknown","School education means primary or secondary education, regardless of the location or institution where it was undertaken.
It includes study at a secondary education level that might, for example, be undertaken at a Technical and Further Education (TAFE) institution.
For persons who have never attended school, include in the 'Year 9 or equivalent or below' category.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
18 - Parent/Guardian 1 Highest Non School Education or Qualification (PG_NSCHED1) 
19 - Parent/Guardian 2 Highest Non School Education or Qualification (PG_NSCHED2) 

Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2SchoolEducationLevel,Descriptor,Student,,,,,,,,,,,,,,,,
25,NSSC URL,18,Enrolment,Raw,Parent/Guardian 1 Highest Non- School Education or Qualification,The highest level of post-school qualification attained by the student's parent/guardian 1.,PG_NSCHED1,All Active Enrolments,"Categorical, Numeric",1,"N
5  = Certificate I to IV (including trade certificate)
6  = Advanced diploma/Diploma
7  = Bachelor degree or above
8  = No non-school qualification
9  = Not stated/unknown","Primary and secondary education is not counted as non-school qualifications, regardless of the location or institution where the study was undertaken.
For example, secondary education undertaken as a mature-age student at a Technical and Further Education (TAFE) institution is considered school education.
Include non-school qualifications (such as Certificate I) completed by parents/guardians when at school. 
",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
17 - Parent/Guardian 2 School Education (PG_SCHED2) 
19 - Parent/Guardian 2 Highest Non School Education or Qualification (PG_NSCHED2) 
Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1NonSchoolEducation,Descriptor,Student,,,,,,,,,,,,,,,,
26,NSSC URL,19,Enrolment,Raw,Parent/Guardian 2 Highest Non- School Education or Qualification,The highest level of post-school qualification attained by the student's parent/guardian 2.,PG_NSCHED2,All Active Enrolments,"Categorical, Numeric",1,"N
5  = Certificate I to IV (including trade certificate)
6  = Advanced diploma/Diploma
7  = Bachelor degree or above
8  = No non-school qualification
9  = Not stated/unknown","Primary and secondary education is not counted as non-school qualifications, regardless of the location or institution where the study was undertaken.
For example, secondary education undertaken as a mature-age student at a Technical and Further Education (TAFE) institution is considered school education.
Include non-school qualifications (such as Certificate I) completed by parents/guardians when at school. 
",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
16 - Parent/Guardian 1 School Education (PG_SCHED1) 
17 - Parent/Guardian 2 School Education (PG_SCHED2) 
18 - Parent/Guardian 1 Highest Non School Education or Qualification (PG_NSCHED1) 
Enrolment Derived
6 - Highest Education Attainment of Parent/Guardian 1 (PGD_PGED1)
7 - Highest Education Attainment of Parent/Guardian 2 (PGD_PGED2)",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent2NonSchoolEducation,Descriptor,Student,,,,,,,,,,,,,,,,
27,NSSC URL,20,Enrolment,Raw,Parent/Guardian 1 Occupation Group,The current occupation of employed work of parent/guardian 1.,PG_OCG1,All Active Enrolments,"Categorical, Numeric",1,"N
1  = Senior management in large business organisation, government   administration and defence, and qualified professionals
2  = Other business managers, arts/media/sportspersons and associate professionals
3  = Tradesmen/women, clerks and skilled office, sales and service staff
4  = Machine operators, hospitality staff, assistants, labourers and related workers
8  = Not in paid work in last 12 months
9  = Not stated/unknown","If the person is not currently in paid work but has had a job in the last 12 months or has retired in the last 12 months, use the person’s last occupation. If the person has not been in paid work in the last 12 months, enter 8. If the person has left the field blank, or the occupation is unknown, enter 9.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"SCSEEC 2010 Data Standards Manual
Isn't there an ABS Standard?","Enrolment Frame
21 -Parent/Guardian 2 Occupation Group
Enrolment Derived ICSEA? For school",,,School Enrolling Student,,,,StudentPersonal,MostRecent/Parent1EmploymentType,Descriptor,Student,,,,,,,,,,,,,,,,
