DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Able to be mapped at RAW
16,NSSC NIT,,Table 3-2,Aggregate,Number of staff,"Executive staff and staff not generally active in schools or AEE's.  Staff who spend the majority of their time in, e.g., state, territory or regional offices, are not considered to be generally active in schools or AEE's and should be recorded in Table 3-2.  Staff whose office is located at a school but who are not generally active in schools should also be recorded in Table 3-2.  Senior Executive staff (including Superintendents and Inspectors) are considered to be 'not generally active in schools or AEEs' for the purposes of this collection.",,,,,"Reported by attributes:
Males, Females, Persons 
Major Function: Executive Staff; Specialist Support Staff; Administrative and Clerical Staff; Building Operations, General Maintenance and Other Staff","EXECUTIVE STAFF (including Directors-General (or equivalent) and Inspectors/Superintendents)
Executive staff are those generally undertaking functions of a senior administrative nature broader than that of a secondary principal, and whose salary generally exceeds that of a secondary principal. Staff should not be included in, or excluded from, this category solely on the basis of salary.
Regional Consulting Principals in Victoria and Cluster Principals in the Northern Territory are to be included in Executive Staff, and the number and FTE noted in the comments.
SPECIALIST SUPPORT STAFF
Specialist support staff are those who manage or are engaged in curriculum development and research activities, assisting with teaching resources, staff development etc. Student support services staff and teacher support services staff are also included in this category.
ADMINISTRATIVE AND CLERICAL STAFF 
Administrative and clerical staff are those whose main duties are generally of a clerical/administrative nature. These include office staff and publicity staff in state, territory and regional offices.
BUILDING OPERATIONS, GENERAL MAINTENANCE & OTHER STAFF
Building operations, general maintenance and other staff are those involved in the maintenance of buildings, grounds etc. These include staff providing associated technical services and other janitorial staff.
EXCLUDE cleaners, whether salaried or employed on contract",,,,,,,,Australian Bureau of Statistics,,,,,,
17,NSSC NIT,,Table 3-2,Aggregate,Number of staff (FTE),"Executive staff and staff not generally active in schools or AEE's.  Staff who spend the majority of their time in, e.g., state, territory or regional offices, are not considered to be generally active in schools or AEE's and should be reocrded in Table 3-2.  Staff whose office is located at a school but who are not generally active in schools should also be recorded in Table 3-2.  Senior Executive staff (including Superintendents and Inspectors) are considered to be 'not generally active in schools or AEEs' for the purposes of this collection.",,,,,"Reported by attributes:
Males, Females, Persons 
Major Function: Executive Staff; Specialist Support Staff; Administrative and Clerical Staff; Building Operations, General Maintenance and Other Staff","EXECUTIVE STAFF (including Directors-General (or equivalent) and Inspectors/Superintendents)
Executive staff are those generally undertaking functions of a senior administrative nature broader than that of a secondary principal, and whose salary generally exceeds that of a secondary principal. Staff should not be included in, or excluded from, this category solely on the basis of salary.
Regional Consulting Principals in Victoria and Cluster Principals in the Northern Territory are to be included in Executive Staff, and the number and FTE noted in the comments.
SPECIALIST SUPPORT STAFF
Specialist support staff are those who manage or are engaged in curriculum development and research activities, assisting with teaching resources, staff development etc. Student support services staff and teacher support services staff are also included in this category.
ADMINISTRATIVE AND CLERICAL STAFF 
Administrative and clerical staff are those whose main duties are generally of a clerical/administrative nature. These include office staff and publicity staff in state, territory and regional offices.
BUILDING OPERATIONS, GENERAL MAINTENANCE & OTHER STAFF
Building operations, general maintenance and other staff are those involved in the maintenance of buildings, grounds etc. These include staff providing associated technical services and other janitorial staff.
EXCLUDE cleaners, whether salaried or employed on contract.",,,,,,,,Australian Bureau of Statistics,,,,,,
18,NSSC NIT,,Table 3-2,Aggregate,Staff Sex,Staff Sex,,,,,"Males, Females, Persons",,,,,,,,,Australian Bureau of Statistics,,,,,,Yes
19,NSSC NIT,,Table 3-2,Aggregate,Staff Major Function ,Staff: Major function,,,,,"The functions for staff generally active in schools and AAEs are:
-Teaching Staff
-Specialist Support Staff,
-Administrative and Clerical Staff (incl. Teacher aides & assistants)
-Building operations, general maintenance and other staff","
TEACHING STAFF 
Teaching staff are those who spend the majority of their time in contact with students (i.e. support students either by direct class contact or on an individual basis) and have teaching duties (i.e. are engaged to impart the school curriculum).
Although the definition of teaching staff no longer contains a reference to payment under a Teachers’ Salary Award, the great majority of teaching staff will be paid in this way.  
For the Northern Territory, Assistant Teachers in Homeland Learning Centres and Community schools are to be included as Teaching staff, and the number and FTE should be noted in the comments section of the table.
Undergraduate students working as teaching staff should be included if they meet NSSC criteria.
For the purposes of this collection, Teaching Staff includes principals, deputy principals, campus principals and senior teachers mainly involved in administrative duties. Depending on their workload, principals can be either full-time or part-time.

SPECIALIST SUPPORT STAFF
Specialist support staff are those who perform functions that are of special benefit to students or teaching staff in the development of the school curriculum. While these staff may spend the majority of their time in contact with students, they are not employed or engaged to impart the school curriculum.

ADMINISTRATIVE AND CLERICAL STAFF  (Including Teacher aides and assistants)
Administrative and clerical staff are those whose main duties are generally of a clerical/administrative nature.

BUILDING OPERATIONS, GENERAL MAINTENANCE AND OTHER STAFF - Building operations, general maintenance and other staff are those involved in the maintenance of buildings, grounds etc. These include those staff providing associated technical services and other janitorial staff. It also includes the repair and servicing of equipment such as video machines and laboratory equipment.
",,,,,,,,Australian Bureau of Statistics,,,,,,
20,NSSC NIT,,Table 21A,Aggregate,Number of students,"Table showing number of students - Full-time, ATSI, M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Male; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
21,NSSC NIT,,Table 21A,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,n.nn,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
22,NSSC NIT,,Table 21A,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
23,NSSC NIT,,Table 21A,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
24,NSSC NIT,,Table 21A,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
25,NSSC NIT,,Table 21A,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
26,NSSC NIT,,Table 21B,Aggregate,Number of students,"Table showing number of students - Full-time,non-ATSI,M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Male; Non-Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,Calculated,,Yes
27,NSSC NIT,,Table 21B,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
28,NSSC NIT,,Table 21B,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
29,NSSC NIT,,Table 21B,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
30,NSSC NIT,,Table 21B,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
31,NSSC NIT,,Table 21B,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
32,NSSC NIT,,Table 21C,Aggregate,Number of students,"Table showing number of students - Full-time, ATSI -notstated, M by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Male; Aboriginal and Torres Strait Islander- Not Stated;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,Calculated,,Yes
33,NSSC NIT,,Table 21C,Aggregate,Time fraction ,"FULL -TIME STUDENT - A full time student is a person who satisfies the definition of a student and undertakes a workload equivalent to, or greater than, that usually undertaken by a student of that Year level.
Note: Some students may undertake additional educational activities such as VET in Schools (including throught TAFE), school-based apprenticeships or traineeships, tertiary extension studies, work placements. or a combination of such programs.  The workload of such activities should be included if the activity is undertaken as part of the student's school enrolment.  This definition relates to workload.  Workload is not necessarily determined by enrolment and attendance alone.  Consequently a student who is enrolled and attending school full-time may not necessarily be full-time for the purposes of this collection.  If the combined workload of alternative school-based educational programs plus the 'normal' schools subject(s) make up the minimum prescribed full-time workload for a given state or territory, then the students should be counted as full-time students for the purposes of the NSSC.
PART-TIME STUDENT - A part-time student is a person who satisfies the definition of a student but who undertakes a workload less than that usually undertaken by a full-time student of that year level (as determined by the system for that state or territory).  A part-time student has an FTE of less than 1.00. ",,,,,N.NN,"Systems should indicate the basis used to determine a full-time student workload, e.g. hours of attendance or subject load, by noting any changes to the table .

Note - States and territories that have any part-time primary or secondary students should ensure that they are included in all appropriate NSSC tables.",,,,"A full-time student has a FTE of 1.00 even if the student's workload is greater than that usually undertaken by  a student of that Year level.

 The FTE of a part-time student should be determined by dividing the student's workload by what is considered to be a full -time workload for that state or territory.

Note Student FTE must be reported and entered to two decimal places (the number must be rounded before being entered in the spreadsheet). 
No student may have an FTE exceeding 1.00.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/FTE,,,
34,NSSC NIT,,Table 21C,Aggregate,Indigenous status,"The ABS standard Aboriginal or Torres Strait Islander identifier is used for students in the NSSC.  The ABS standard question is:
Is this student of Aboriginal or Torres Strait Islander origin? Valid responses are:
- Aboriginal but not Torres Strait Islander origin
- Torres Strait Islander but not Aboriginal origin
- Both Aboriginal and Torres Strait Islander origin
Not Stated/Inadequately described
- Neither Aboriginal and Torres Strait Islander origin",,,,,,,,,,"The ""Not-stated"" category for Indigenous status should be used as a default when it is not recorded whether or not a student is of Aboriginal and/or Torres Strait Islander origin.  Indigenous status should NOT default to ""non-indigenous"" if the question is left blank.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,,,
35,NSSC NIT,,Table 21C,Aggregate,Sex,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/Sex,,,
36,NSSC NIT,,Table 21C,Aggregate,Age,,,,,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/Demographics/BirthDate,,,
37,NSSC NIT,,Table 21C,Aggregate,Year level of education,"PRIMARY STUDENT - A primary student is a student enrolled and active in Pre-Year 1 to Year 6 in all states and territories except South Australia, where the range is Pre-year 1 to Year 7. 
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.

SECONDARY STUDENT -A secondary student is a student enrolled and active in Year 7 to Year 12 in all states and territories except South Australia, where the range is Year 8 to Year 12.
'Year' is not necessarily the number of years the student has been at the school but is a measure of the level of education.",,,,,,"Pre-year 1 is called Kindergarten in New South Wales and the Australian Capital Territory; Preparatory in Queensland, Victoria and Tasmania; Reception in South Australia; Pre-primary in Western Australia; and Transition in the Northern Territory.
An Ungraded Primary student is one who cannot be allocated to a particular Year of schooling, but is placed as a primary student based on their age at the census date.
An Ungraded Secondary student is one who cannot be allocated to a particular Year of schooling, but is placed as a secondary student based on their age at the census date.",,,,"A student is not necessarily a primary student because he or she is of primary age OR primary funded.
A student is not necessarily a secondary student because he or she is of seconary age OR secondary funded.",,School enrolling student,,Australian Bureau of Statistics,,StudentPersonal,PersonInfo/MostRecent/YearLevel,,,
38,NSSC NIT,,Table 22A,Aggregate,Number of students,"Table showing number of students - Full-time, ATSI, F by age and year level.
STUDENT - A student is a person who is formally (officially) enrolled or registered at a school and who is also active in a primary, secondary or special education program at that school.  ",,,,,,"Attributes: Full time; Female; Aboriginal and Torres Strait Islander;
By Age, Year  and level of education",,,,"Exclude persons who have only completed enrolment procedures at the school.
Exclude persons who have left the school (e.g. have ceased education or changed schools), or have been absent without explanation for four continuous weeks (excluding school vacations), prior to the Census date.
A student who attends one school but is formally enrolled at another is to be counted only at the school at which he'she is formally enrolled.
Students undertaking ""home schooling"" are only included if they are also formally enrolled and active in a course of study at an in-scope establishment.  No part of their home schooling should be included inthe NSSC figures.",,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
